layer,token_type,n_tokens,k_mean,k_std,k_min,k_max,k_abs_max,k_q01,k_q05,k_q50,k_q95,k_q99,v_mean,v_std,v_min,v_max,v_abs_max,v_q01,v_q05,v_q50,v_q95,v_q99,k_norm_mean,k_norm_std,k_norm_min,k_norm_max,k_norm_median,k_norm_q01,k_norm_q05,k_norm_q50,k_norm_q95,k_norm_q99,v_norm_mean,v_norm_std,v_norm_min,v_norm_max,v_norm_median,v_norm_q01,v_norm_q05,v_norm_q50,v_norm_q95,v_norm_q99,kv_norm_ratio
0,all,175,0.029653439341179495,26.29190824926606,-441.25,460.75,460.75,-12.1875,-3.5234375,-0.0255126953125,3.49609375,10.7734375,-4.1319373329835276e-05,0.10655127035121213,-1.4453125,1.3056640625,1.4453125,-0.2578125,-0.1630859375,-0.00067901611328125,0.166015625,0.271484375,831.4547057174791,128.6031053423386,463.67196797998855,977.380733906005,864.1862094029889,505.84721135248475,555.9645667763514,864.1862094029889,961.2249030001271,970.4380981351102,3.362936752741633,0.5624122295124925,2.6808677502850675,5.878885948839601,3.22858738670528,2.693932533753915,2.7364470382821082,3.22858738670528,4.428813650925234,5.7222670779623135,247.24066102035252
0,text,32,0.041052301161471405,19.104335932064945,-347.75,396.75,396.75,-11.31234375,-3.4375,0.0085296630859375,3.3033203124999915,10.01296874999997,-0.0013304905696713831,0.13726006628699516,-1.4453125,1.3056640625,1.4453125,-0.3671875,-0.2099609375,-0.00040912628173828125,0.2076416015625,0.3549780273437486,606.5610210435647,76.29233597108987,463.67196797998855,754.2401063924192,581.5749473579456,469.34032561053624,499.7132362660159,581.5749473579456,741.5355135203271,754.1174532556818,4.3624961943558525,0.5127701829781017,3.7469522831020994,5.878885948839601,4.227983089500098,3.76796259247408,3.8679659524025887,4.227983089500098,5.762057020402368,5.878375218845264,139.03989688938327
0,vision,143,0.0271026450876876,27.645615866541977,-441.25,460.75,460.75,-12.388203125,-3.541015625,-0.035247802734375,3.546875,10.885781250000036,0.00024716648878855303,0.09837312310633504,-0.640625,0.65234375,0.65234375,-0.23309570312500005,-0.1552734375,-0.000762939453125,0.158203125,0.251953125,881.7805652249286,71.32030183632402,655.8645494454136,977.380733906005,892.8271651597381,686.4715334695875,747.5134314088413,892.8271651597381,963.8763437373201,970.4807979139616,3.1392591154573335,0.23375334343830748,2.6808677502850675,3.872532110654675,3.1669960893464664,2.69248756576843,2.734701145127032,3.1669960893464664,3.489704471229365,3.716961110156794,280.8881117468601
1,all,175,0.1533630061385754,7.468835595835675,-124.75,137.5,137.5,-7.328125,-3.39453125,0.0045490264892578125,3.5411132812499773,8.546953125000073,-0.0034164229634084872,0.1386123127362417,-1.265625,0.927734375,1.265625,-0.3483935546875,-0.2275390625,-0.00262451171875,0.2177734375,0.33203125,238.65204654679826,13.841772182828958,201.31288629626695,266.09036991846114,239.44959311582642,204.33691559541975,212.6455672343074,239.44959311582642,259.06429677603023,263.2408503428408,4.41774393272478,0.41229215046964607,2.7327561494726575,6.167806773849338,4.418788697930232,3.230021830040782,3.858305636763579,4.418788697930232,5.043830748047477,5.281911706465915,54.021249348330215
1,text,32,0.08678465440789296,7.575515754253469,-124.75,128.75,128.75,-7.1821484374999995,-3.390527343749999,-0.009250640869140625,3.3599609374999915,8.174453124999985,-0.00035393998405197635,0.13326932566149066,-1.265625,0.927734375,1.265625,-0.337890625,-0.21484375,-0.0001888275146484375,0.21484375,0.3359375,242.26418388811237,9.029895717585829,223.43831528901657,262.9114052242786,242.42606238994574,223.5240344643399,224.75709874757578,242.42606238994574,253.09454305702857,260.0327367674926,4.209162946212743,0.6855988991160623,2.7327561494726575,6.167806773849338,4.260703094888527,2.8452463776535764,3.1955152684405728,4.260703094888527,5.141174753031224,5.9644412745440505,57.556380445212554
1,vision,143,0.1682616582741127,7.444672272047609,-101.1875,137.5,137.5,-7.3347265625,-3.39453125,0.0063018798828125,3.5859375,8.614765625000018,-0.004101733839907846,0.1397707967541512,-1.078125,0.84765625,1.078125,-0.3515625,-0.2294921875,-0.0032501220703125,0.21875,0.330078125,237.8437360927979,14.582503167540919,201.31288629626695,266.09036991846114,239.04920282810036,203.15802435261475,210.91231944095924,239.04920282810036,259.47263447763135,263.524923517214,4.464419398237962,0.30153619802451614,3.673265096041817,5.201143996737371,4.448491907538217,3.847013409356235,4.00218768587251,4.448491907538217,5.033003376178033,5.147411718226748,53.27540154194993
2,all,175,0.3121251851616294,8.889560134099451,-148.125,183.125,183.125,-7.65234375,-3.4296875,0.01766204833984375,3.6328125,9.734453125000073,-0.0017299316976485508,0.18503060739721658,-2.28515625,2.107421875,2.28515625,-0.45703125,-0.298828125,-0.0018310546875,0.294921875,0.466796875,283.27865605858017,27.817716779826117,214.30605398545802,341.92603609751615,289.90515896961404,220.4250672721227,232.19268103757796,289.90515896961404,321.5928376277683,335.8429123630877,5.852811757514644,0.8975837056558301,3.297596893569594,11.438718862012813,5.9950097533661095,3.770282882454643,4.488535682555653,5.9950097533661095,6.867415561440453,7.177347612161828,48.400438591736375
2,text,32,0.2882828556248569,8.04288560033696,-127.3125,170.5,170.5,-6.834609374999999,-3.34765625,0.004680633544921875,3.5279296874999915,8.27078124999997,0.0016090363678813446,0.18046087123901763,-2.28515625,2.107421875,2.28515625,-0.439453125,-0.27734375,0.0014495849609375,0.2875854492187484,0.462890625,256.563668785457,22.37647030119088,214.30605398545802,303.4792070819122,260.18371931679013,215.9915991603588,220.8028866748386,260.18371931679013,298.70157376956627,302.2087991520124,5.617180505185311,1.3407637299903514,3.297596893569594,11.438718862012813,5.802763761196847,3.349043385835503,3.6915279948574042,5.802763761196847,6.430960674138818,9.96317723663072,45.67481293303979
2,vision,143,0.3174605316313967,9.068199391397314,-148.125,183.125,183.125,-7.8737890625,-3.44921875,0.0209503173828125,3.654296875,10.0546875,-0.0024771133626622335,0.18602963081927734,-1.3125,1.15625,1.3125,-0.4609375,-0.302734375,-0.0026092529296875,0.296875,0.466796875,289.25683502878957,25.288283725881335,220.66460835944167,341.92603609751615,294.26307513995033,224.30251723941691,244.02117733030633,294.26307513995033,325.8146621644655,336.71166650562253,5.905540429364565,0.7539679712756637,4.2701719819237445,7.21249466156995,6.128550518346127,4.376039674985869,4.633517768449925,6.128550518346127,6.904775914232047,7.112026721928759,48.980586703038384
3,all,175,-0.0755609536600033,5.154896859622494,-93.625,95.25,95.25,-7.3437890625,-3.076171875,-0.0015802383422851562,2.685546875,6.58984375,-0.0067685577941925396,0.4142452777045258,-2.90625,3.75,3.75,-1.0390625,-0.66796875,-0.004150390625,0.6484375,0.9883154296875318,164.37143544923094,14.092210813378651,62.623281616299884,190.76243984404366,165.6723844087473,129.78847252866322,145.15889452382524,165.6723844087473,183.1282065347105,187.0069948911165,13.148797385821425,1.6951607313559753,1.4205359463060194,16.718012440140637,13.389162646673547,9.591794946016547,10.903531461618908,13.389162646673547,15.36964840860626,15.696441205180944,12.500872180635737
