layer,token_type,kind,n_vectors,ks_statistic,p_value,fit_quality,mean_abs_correlation,max_correlation,off_diagonal_norm
0,all,K,1400,0.18192993232415788,0.0,fail,0.9403298605704152,0.9958012632233664,0.9413637676559917
0,all,V,1400,0.00934651610978765,5.02115139006174e-14,excellent,0.12257439653011658,0.5365511233396336,0.15189964792257774
1,all,K,1400,0.1466714605324822,0.0,fail,0.8544136555387982,0.9568389409758895,0.8563206652648687
1,all,V,1400,0.005773227068927356,1.2925591376859877e-05,excellent,0.09292621699384997,0.43939747014423586,0.11656423107513729
2,all,K,1400,0.1493997040016905,0.0,fail,0.8186808799978307,0.9350682279378232,0.819710248380054
2,all,V,1400,0.007961204339601957,2.712116047075564e-10,excellent,0.08629916099085132,0.40763725958372643,0.10762834734560975
3,all,K,1400,0.10556797369153015,0.0,fail,0.640804041351765,0.9349425319639407,0.6512814921585138
3,all,V,1400,0.0057538238908817485,1.4004566394594005e-05,excellent,0.07996128286685625,0.36929969432599347,0.10028026603025707
4,all,K,1400,0.03229436112315626,8.349275733413832e-163,good,0.5170485072545179,0.9191826352770134,0.579961135146241
4,all,V,1400,0.00551786189329917,3.6335155928525744e-05,excellent,0.08222142273707603,0.4143823271406517,0.10246333165109459
5,all,K,1400,0.032782790474477186,9.369570138276918e-168,good,0.48133726876576255,0.9567645113473311,0.5715816106534123
5,all,V,1400,0.0022478744163910713,0.32507990177520385,excellent,0.07349937217661356,0.3230651275956044,0.09164559318243144
6,all,K,1400,0.0399961970097103,1.609489285388827e-249,good,0.46476485076416835,0.9292862277970596,0.5021105696400481
6,all,V,1400,0.003126113001586106,0.06011710379195856,excellent,0.07622825155598466,0.381693422805861,0.09542580868316188
7,all,K,1400,0.02071535213548059,3.1247849448945396e-67,good,0.440032571291063,0.8966801699836284,0.484845903258025
7,all,V,1400,0.003387859403631732,0.032624561113259176,excellent,0.07444079404329348,0.3350605524558986,0.09328388292426408
8,all,K,1400,0.018096054463286326,2.096533292789351e-51,excellent,0.38777312548408005,0.8117853449211598,0.4091775618683617
8,all,V,1400,0.010941712662587755,4.599037968564708e-19,excellent,0.07744999522523248,0.4100464152211272,0.0967522914989392
9,all,K,1400,0.020885810269070576,2.4592214030279465e-68,good,0.3604465816170714,0.8776681414782075,0.4101844555124429
9,all,V,1400,0.0021737033022600216,0.3649680341015168,excellent,0.07512482716908185,0.3419855493223028,0.09393212657888367
10,all,K,1400,0.04230371075857431,4.2105465894556955e-279,good,0.5121843962605417,0.8964469962058026,0.5640266390013151
10,all,V,1400,0.0042695911097515304,0.0028997304108755255,excellent,0.07761330691177543,0.3685688115678415,0.09704578872921402
11,all,K,1400,0.0037714171069230806,0.012190351784457853,excellent,0.17187453694022486,0.9147739873715174,0.2222697515766474
11,all,V,1400,0.0024569578718028895,0.22911418702170983,excellent,0.07221687015043005,0.35187162226927426,0.090647687305252
12,all,K,1400,0.06904490036675415,0.0,poor,0.7080244818655739,0.9491799324978863,0.7128336917835537
12,all,V,1400,0.007185450412868666,1.8301650352185852e-08,excellent,0.06938630558504351,0.3344841147757016,0.08655331831359629
13,all,K,1400,0.0061724684668940655,2.338783471134208e-06,excellent,0.1628993779546574,0.8793098261991228,0.20962778509635766
13,all,V,1400,0.01522353081830119,1.666247830801877e-36,excellent,0.07503910944121026,0.3179392105915897,0.09371929463604513
14,all,K,1400,0.022961303157511215,1.6681906673899e-82,good,0.265488233913598,0.9025369201761486,0.3080307406732832
14,all,V,1400,0.005308380081393893,8.19206123967991e-05,excellent,0.0659645523723865,0.31436782782989786,0.08301277001260077
15,all,K,1400,0.054713097638055874,0.0,poor,0.6116850005726727,0.9074696833410711,0.6249874099553038
15,all,V,1400,0.003983496457310776,0.006760217895942229,excellent,0.06111801946172032,0.299610299583126,0.07641287651391444
16,all,K,1400,0.006036942581722715,4.232410517223755e-06,excellent,0.1713533685531173,0.8473834938101986,0.21615757796369872
16,all,V,1400,0.005794173238933831,1.1850337050523488e-05,excellent,0.07409541028447619,0.33709984105999535,0.0924966817287849
17,all,K,1400,0.0333533052129773,1.2466234694625089e-173,good,0.5181053663057031,0.9125979242379123,0.5377092749407553
17,all,V,1400,0.010584651271527246,7.231052918031677e-18,excellent,0.07165654380156881,0.39566920510908443,0.09078014919577841
18,all,K,1400,0.0036676425677703017,0.016077081751386824,excellent,0.16794750846826795,0.8714002084589023,0.21113383824941864
18,all,V,1400,0.005064010911320971,0.00020323381475764626,excellent,0.07269864899405722,0.38293597803828355,0.0913566659011759
19,all,K,1400,0.0098399589020281,1.6864986324859986e-15,excellent,0.22760941122819892,0.85125631092974,0.27567320349730556
19,all,V,1400,0.0026764201725458237,0.15314234082850509,excellent,0.06753629454831984,0.31335982441006094,0.08435791427295165
20,all,K,1400,0.011078513389349842,1.5621468417378447e-19,excellent,0.17060946951438052,0.8837102538068868,0.2175851549044622
20,all,V,1400,0.006043084709219326,4.121326059936784e-06,excellent,0.062173714161458865,0.3233761433519364,0.07823105119388218
21,all,K,1400,0.0181435433115541,1.1312985857304425e-51,excellent,0.3737058670697932,0.9387938555156679,0.40855654055687163
21,all,V,1400,0.007149521703384898,2.2012455598932333e-08,excellent,0.05577232111583544,0.2720653014659606,0.06983127897905267
22,all,K,1400,0.004769710684904116,0.0005735221837646411,excellent,0.21787442969187487,0.9014469090018356,0.264288472600121
22,all,V,1400,0.005570783891853837,2.9442134864968328e-05,excellent,0.05654378992371327,0.30561662221812336,0.07105208664121339
23,all,K,1400,0.006555756788146239,4.0692065424896785e-07,excellent,0.21643781148588678,0.8930996486746363,0.2640080798675225
23,all,V,1400,0.0029821446484551983,0.08239493475658366,excellent,0.052323692804307896,0.23794891414027752,0.0653630491567276
24,all,K,1400,0.009338854221852988,5.285550178900695e-14,excellent,0.22612714637977407,0.9221653634957107,0.2800036953853727
24,all,V,1400,0.0037398751578942013,0.0132709663878074,excellent,0.05569680429487101,0.31137485193705705,0.0701059344234482
25,all,K,1400,0.006380875784689377,9.156028949067849e-07,excellent,0.17836823718850553,0.9335270423406046,0.24322120081813703
25,all,V,1400,0.002227769169568905,0.3355901542849712,excellent,0.046401177946698624,0.24570139657188786,0.05840914247421655
26,all,K,1400,0.012613025847017456,3.4216747035584326e-25,excellent,0.18437070260773233,0.9288646715478279,0.23817515302960285
26,all,V,1400,0.010132583372048809,2.0757068748209622e-16,excellent,0.05289152007662697,0.26476957177379473,0.06679863436398956
27,all,K,1400,0.07080925023901208,0.0,poor,0.7142554028745851,0.9090224114507148,0.7200999227161408
27,all,V,1400,0.011009379529107632,2.700455809051916e-19,excellent,0.0690109431721896,0.33174231401087684,0.08613056916452859
0,vision,K,1144,0.19304492684291308,0.0,fail,0.9481101651969341,0.9969344903900333,0.9489632681441195
0,vision,V,1144,0.010258107284112694,8.199790066117658e-14,excellent,0.15082077690022014,0.640934526851086,0.18590287910151773
1,vision,K,1144,0.14661368768477723,0.0,fail,0.8576855742899875,0.9626209867278889,0.8597258880617207
1,vision,V,1144,0.00825548488616179,4.2676701659018786e-09,excellent,0.11264167804293518,0.5117491766108054,0.14068363685345606
2,vision,K,1144,0.15116458751938472,0.0,fail,0.823193236405822,0.9375249784225183,0.824318150896671
2,vision,V,1144,0.00836088944710861,2.5549907713458187e-09,excellent,0.10384686548582181,0.45858179353399064,0.12920593044104836
3,vision,K,1144,0.10606343214646502,0.0,fail,0.6501549435434829,0.9388982636753239,0.6617280325123678
3,vision,V,1144,0.0071373900295856885,6.600608380898858e-07,excellent,0.09543272010400007,0.4281079465074773,0.11957824602523225
4,vision,K,1144,0.03206899400446453,2.871084050546103e-131,good,0.5137497628972267,0.9439641074788244,0.5842999592616516
4,vision,V,1144,0.005463267065638933,0.0003185485657984584,excellent,0.09856101061119966,0.4833615628593296,0.12252505204023416
5,vision,K,1144,0.03072441774931689,1.5914137590684352e-120,good,0.4899644872124189,0.9617787835247313,0.5736611222193974
5,vision,V,1144,0.0031884815763544294,0.1016226521010386,excellent,0.08721142752968439,0.3959852311417078,0.10855283092206197
6,vision,K,1144,0.039910740322938065,4.1924523030637927e-203,good,0.47040431298256613,0.9360911467771929,0.5080685516717254
6,vision,V,1144,0.0031451557553085208,0.11012593861933517,excellent,0.08986302841143422,0.4074329859783468,0.11207057812959287
7,vision,K,1144,0.01923795030463543,1.6561127367428694e-47,excellent,0.42938734336735834,0.8966107137230169,0.4779460152895335
7,vision,V,1144,0.005400567811408796,0.00038889315745160467,excellent,0.08826235795762928,0.37523429440215245,0.11046524734297387
8,vision,K,1144,0.01764420608334094,4.976762131927362e-40,excellent,0.3975177192056665,0.8231524927097547,0.42157895628080927
8,vision,V,1144,0.01399200678256729,2.48487272480492e-25,excellent,0.0915229238695001,0.450031810179196,0.114215961971148
9,vision,K,1144,0.021993645884164692,5.8091413869583765e-62,good,0.37670235191474477,0.8827631797498346,0.4259485747041532
9,vision,V,1144,0.004386348273010099,0.0071223969894132965,excellent,0.08890403429031331,0.4219745427098212,0.11060024258251569
10,vision,K,1144,0.037353699832000875,5.86726474774208e-178,good,0.48650381457917574,0.9065727646935811,0.5480791105797119
10,vision,V,1144,0.0049131101534589106,0.0016959750721293526,excellent,0.0908619612812042,0.4145619894352976,0.11343008684098944
11,vision,K,1144,0.005336993292763326,0.00047497804723440197,excellent,0.18161929598415527,0.9273032580366171,0.23332562078885163
11,vision,V,1144,0.005560733146885877,0.00023253337312263437,excellent,0.08338587091381133,0.40584977983054205,0.10453742936681322
12,vision,K,1144,0.0719975497597597,0.0,poor,0.7249517550309906,0.9514489251857048,0.7302424846737094
12,vision,V,1144,0.00749568507400189,1.4210769295952468e-07,excellent,0.07831921674154144,0.3669483107569299,0.09793686946385599
13,vision,K,1144,0.007237886614193556,4.323196355327104e-07,excellent,0.17242392012158317,0.8931370476300705,0.2195625311800018
13,vision,V,1144,0.018962725055325702,3.6026765421557375e-46,excellent,0.08553811865776317,0.3468957148240399,0.10658878517559446
14,vision,K,1144,0.024878014299564044,3.6620430362026984e-79,good,0.2830203302280299,0.9064459936538865,0.3274925361520976
14,vision,V,1144,0.005227253027254131,0.0006670529797775283,excellent,0.07444368749451177,0.36590587776654754,0.09360185548599385
15,vision,K,1144,0.059506185004789935,0.0,poor,0.6246285654536072,0.9228936544927641,0.6384990272660194
15,vision,V,1144,0.004662390168170161,0.0034264679920929307,excellent,0.06989882292082751,0.34823104113176084,0.08768949991583709
16,vision,K,1144,0.00668870214515338,4.0621925634823565e-06,excellent,0.1805982303424911,0.8642715137234571,0.22639746998438534
16,vision,V,1144,0.005483844127316728,0.0002982076589083085,excellent,0.08502467524421443,0.3743158157770359,0.10602259944096545
17,vision,K,1144,0.034911669281506186,1.6895960109784905e-155,good,0.539801760409516,0.9393028602365642,0.5605947422486605
17,vision,V,1144,0.010291841036932259,6.692956104928866e-14,excellent,0.08304778862222599,0.4408665171373638,0.10476702853298189
18,vision,K,1144,0.0037501034507094744,0.03245207086550528,excellent,0.17770116524612,0.8626539078473572,0.2220336801602953
18,vision,V,1144,0.005754102070162137,0.00012250214796488955,excellent,0.08573166739742996,0.42310423321765267,0.10762704999586907
19,vision,K,1144,0.010999805655351164,8.092876839205642e-16,excellent,0.24162722119363408,0.8617973571217891,0.2910547585581926
19,vision,V,1144,0.0028337931407281802,0.18987087275847547,excellent,0.07908847220011507,0.3817367417866206,0.09869520873480342
20,vision,K,1144,0.009907201272409072,6.515546522817618e-13,excellent,0.18476429306932593,0.9056460863689821,0.23371623990947182
20,vision,V,1144,0.008812037764944936,2.641342247364697e-10,excellent,0.07071625362367485,0.34205695226231986,0.08883232899236455
21,vision,K,1144,0.018810742027110305,1.9362786746078287e-45,excellent,0.39192011561799894,0.9491207448627921,0.42872863851870574
21,vision,V,1144,0.007777353584633273,4.030538218280935e-08,excellent,0.0637897297661923,0.3044591276374278,0.07958303021955702
22,vision,K,1144,0.004734745649939087,0.0028076612046120863,excellent,0.22673152509356953,0.915199391403755,0.27479161783112604
22,vision,V,1144,0.005440486482585771,0.0003425907563843416,excellent,0.06421871770565594,0.3377411413473668,0.08061932232169501
23,vision,K,1144,0.006402932634760106,1.2153199737249886e-05,excellent,0.224347900896051,0.8934005212195424,0.27374674546696015
23,vision,V,1144,0.003082498638663611,0.12345489887911532,excellent,0.06027363293125136,0.29683390591509623,0.07517034486664317
24,vision,K,1144,0.009656290939354162,2.7439777556551585e-12,excellent,0.23437770764787771,0.9435209489927231,0.28981520210450645
24,vision,V,1144,0.006773540615648277,2.9071563181103972e-06,excellent,0.06435083699479353,0.3449349910638876,0.08076811344585379
25,vision,K,1144,0.006529563786450532,7.522429238038451e-06,excellent,0.1893053880741769,0.9465803508662091,0.2526655926440633
25,vision,V,1144,0.0015085458105295046,0.8923603678258974,excellent,0.05264304871015392,0.2908174662102706,0.06618332389749128
26,vision,K,1144,0.01521036903047851,7.400382593695107e-30,excellent,0.19294195643370202,0.9347067166715293,0.24691270596013212
26,vision,V,1144,0.009733167077649707,1.773226206686292e-12,excellent,0.0587138621170673,0.2823049569680564,0.07369744836031582
27,vision,K,1144,0.07518698117224576,0.0,poor,0.7365926837242612,0.9232209831419722,0.7425762059670695
27,vision,V,1144,0.009670291744233506,2.5348911563104823e-12,excellent,0.07605866180843286,0.34240157679764044,0.09488314175751898
